generation,country,suicides_no,suicides/100k pop
Generation X,Australia,480.0,1.8709592389999998
Generation X,Austria,54.0,0.605594074
Generation X,Costa Rica,76.0,1.483475353
Generation X,Czechia,71.0,0.663684263
Generation X,Ecuador,356.0,2.0240388730000003
Generation X,Estonia,23.0,1.7299450479999998
Generation X,Georgia,25.0,0.6715527050000001
Generation X,Germany,508.0,0.610864213
Generation X,Guatemala,232.0,1.376174026
Generation X,Iceland,10.0,2.728788446
Generation X,Kazakhstan,285.0,1.519540815
Generation X,Latvia,19.0,0.99976374
Generation X,Lithuania,43.0,1.53852484
Generation X,Mauritius,30.0,2.370155009
Generation X,Mexico,2279.0,1.808754534
Generation X,Netherlands,161.0,0.9230857429999999
Generation X,North Macedonia,7.0,0.337751281
Generation X,Serbia,17.0,0.246408023
Generation X,Singapore,42.0,0.7386814230000001
Generation X,Slovenia,18.0,0.8561566460000001
Generation X,Spain,163.0,0.344131207
Generation X,United States of America,3591.0,1.08325439
